Brand,Name,Chipset,Score,Price,URL,Timestamp,Note
AMD,Ryzen 9 9950X,AM5,-1,3049,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-9-9950x-am5-processor?_pos=27&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
AMD,Ryzen 9 9950X,AM5,-1,2849,https://czone.my/czone/100-100001277wof-1739106043.html,2025-03-19 14:21:03.468618,
Intel,Core Ultra 5 235,None,-1,1099,https://czone.my/czone/bx80768235-1739103182.html,2025-03-19 14:21:03.468618,
Intel,Core Ultra 5 245K,LGA1851,-1,1449,https://brightstarcomp.com/collections/pc-components/products/intel-core-ultra-5-245k-lga1851-processor?_pos=49&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
Intel,Core Ultra 5 245K,LGA1851,-1,1279,https://czone.my/czone/bx80768245k-1739103182.html,2025-03-19 14:21:03.468618,
Intel,Core Ultra 5 245KF,LGA1851,-1,1349,https://brightstarcomp.com/collections/pc-components/products/intel-core-ultra-5-245kf-lga1851-processor?_pos=50&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
Intel,Core Ultra 7 265K,LGA1851,-1,1799,https://brightstarcomp.com/collections/pc-components/products/intel-core-ultra-7-265k-lga1851-processor?_pos=51&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
Intel,Core Ultra 7 265K,LGA1851,-1,1569,https://czone.my/czone/bx80768265k-1739103183.html,2025-03-19 14:21:03.468618,
Intel,Core Ultra 7 265KF,LGA1851,-1,1749,https://brightstarcomp.com/collections/pc-components/products/intel-core-ultra-7-265kf-lga1851-processor?_pos=52&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
Intel,Core Ultra 7 265KF,LGA1851,-1,1489,https://czone.my/czone/bx80768265kf-1739103183.html,2025-03-19 14:21:03.468618,
Intel,Core Ultra 9 285K,LGA1851,-1,2699,https://brightstarcomp.com/collections/pc-components/products/intel-core-ultra-9-285k-lga1851-processor?_pos=53&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
Intel,Core Ultra 9 285K,LGA1851,-1,2599,https://czone.my/czone/bx80768285k-1739103183.html,2025-03-19 14:21:03.468618,
