Brand,Name,Size,Price,URL,Timestamp,Note
Corsair,3500X ARGB Tempered Glass,ATX,RM 439.00,https://brightstarcomp.com/collections/pc-components/products/corsair-3500x-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=40&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
Corsair,3500X Tempered Glass,ATX,RM 339.00,https://brightstarcomp.com/collections/pc-components/products/corsair-3500x-tempered-glass-mid-tower-atx-pc-chassis?_pos=41&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
Corsair,4000D Airflow Tempered Glass,ATX,RM 369.00,https://brightstarcomp.com/collections/pc-components/products/corsair-4000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=42&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Mid-Tower
Corsair,5000D Airflow Tempered Glass,ATX,RM 629.00,https://brightstarcomp.com/collections/pc-components/products/corsair-5000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=43&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Mid-Tower
Corsair,5000D Tempered Glass  White   [CC-9011209-WW],ATX,RM 449.00,https://brightstarcomp.com/collections/pc-components/products/corsair-5000d-tempered-glass-mid-tower-white-atx-chassis-cc-9011209-ww?_pos=44&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Mid-Tower
Corsair,7000D Airflow Tempered Glass,ATX,RM 599.00,https://brightstarcomp.com/collections/pc-components/products/corsair-7000d-airflow-tempered-glass-full-tower-atx-pc-chassis?_pos=45&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Full-Tower
Corsair,iCUE 3500X ARGB Tempered Glass,ATX,RM 609.00,https://brightstarcomp.com/collections/pc-components/products/corsair-icue-3500x-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=46&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Mid-Tower
Corsair,iCUE 5000X RGB Tempered Glass    [CC-9011213-WW],ATX,RM 609.00,https://brightstarcomp.com/collections/pc-components/products/corsair-icue-5000x-rgb-tempered-glass-mid-tower-atx-chassis-cc-9011213-ww?_pos=47&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,Mid-Tower
Corsair,iCUE 7000X RGB Tempered Glass,ATX,"RM 1,257.00",https://brightstarcomp.com/collections/pc-components/products/corsair-icue-7000x-rgb-tempered-glass-atx-pc-chassis?_pos=48&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.974134,
Corsair,iCUE Link 9000D Airflow,,"RM 2,249.00",https://brightstarcomp.com/collections/pc-components/products/corsair-icue-link-9000d-airflow-super-tower-pc-chassis-case?_pos=49&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Super-Tower
Deepcool,CG530,ATX,From RM 279.00 to RM 289.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg530-mid-tower-atx-pc-chassis?_pos=50&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Deepcool,CG580,ATX,From RM 269.00 to RM 279.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg580-mid-tower-atx-pc-chassis?_pos=51&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
DeepCool,CH160,Mini-ITX,From RM 229.00 to RM 239.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-ch160-mini-itx-pc-case?_pos=52&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,
DeepCool,CH170 Digital Vertical,Mini-ITX,From RM 279.00 to RM 289.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-ch170-digital-vertical-mini-itx-pc-case-black-white?_pos=53&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,
Deepcool,CH370,Micro-ATX,From RM 239.00 to RM 249.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-ch370-micro-atx-pc-chassis?_pos=54&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,
DeepCool,CH510,,RM 239.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-ch510-mid-tower-pc-chassis?_pos=55&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Deepcool,Macube 110,Micro-ATX,From RM 189.00 to RM 199.00,https://brightstarcomp.com/collections/pc-components/products/deepcool-macube-110-micro-atx-pc-chassis?_pos=56&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,
E-SUPERCASE,Elegant+ 1910BR,,RM 129.00,https://brightstarcomp.com/collections/pc-components/products/e-supercase-elegant-1910br-mid-tower-pc-chassis?_pos=57&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
E-SUPERCASE,Inspire M1610BS,ATX,RM 149.00,https://brightstarcomp.com/collections/pc-components/products/e-supercase-inspire-m1610bs-mid-tower-atx-pc-chassis?_pos=58&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
E-SUPERCASE,Value 3105 with 230W PSU,ATX,RM 129.00,https://brightstarcomp.com/collections/pc-components/products/e-supercase-value-3105-with-230w-psu-mid-tower-atx-pc-chasis?_pos=59&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Fractal Design,Focus 2 RGB TG Clear Tint,ATX,RM 379.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-focus-2-rgb-tg-clear-tint-mid-tower-atx-pc-chassis?_pos=60&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Fractal Design,Mood Mini,ITX,RM 809.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-mood-mini-itx-pc-chassis?_pos=61&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,
Fractal Design,North Mesh,ATX,RM 659.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-mesh-mid-tower-atx-pc-chassis?_pos=62&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Fractal Design,North Tempered Glass Clear Tint,ATX,RM 659.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-tempered-glass-clear-tint-mid-tower-atx-pc-chassis?_pos=63&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.819042,Mid-Tower
Fractal Design,North XL Mesh,ATX,RM 899.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-xl-mesh-mid-tower-atx-pc-chassis?_pos=64&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
Fractal Design,North XL Tempered Glass Dark/ Clear,ATX,RM 899.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-xl-tempered-glass-dark-clear-mid-tower-atx-pc-chassis?_pos=65&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
Fractal Design,Pop Air RGB White Tempered Glass Clear Tint,ATX,RM 419.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-pop-air-rgb-white-tempered-glass-clear-tint-mid-tower-atx-pc-chassis?_pos=66&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
