Brand,Name,Socket,Size,DDR,RAM Slot,NVME Slot,SATA Slot,Wifi,Price,URL,Timestamp,Note
GIGABYTE,B650I AX,AM5,ITX,DDR5,2,1,2,1,949,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b650i-ax-am5-mini-itx-motherboard?_pos=94&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
GIGABYTE,B650I AX ,AM5,ITX,DDR5,2,1,2,1,899,https://czone.my/czone/b650i ax-1739103145.html,2025-03-19 14:21:24,
MSI,B650I Edge WiFi,AM5,ITX,DDR5,2,2,4,1,999,https://czone.my/czone/mpg b650i edge wifi-1739103703.html,2025-03-19 14:21:27,
ASRock,B650I Lightning WiFi,AM5,ITX,DDR5,2,2,2,1,969,https://brightstarcomp.com/collections/pc-components/products/asrock-b650i-lightning-wifi-am5-mini-itx-motherboard?_pos=11&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
GIGABYTE,B650M AORUS Elite AX ICE,AM5,MATX,DDR5,4,2,4,1,1099,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b650m-aorus-elite-ax-ice-am5-micro-atx-motherboard?_pos=95&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,DNR
GIGABYTE,B650M Aorus Elite AX ICE,AM5,MATX,DDR5,4,2,4,1,1099,https://czone.my/czone/b650m a elite ax ice-1739103145.html,2025-03-19 14:21:24,DNR
GIGABYTE,B650M D3HP AX  ,AM5,MATX,DDR5,4,2,4,1,789,https://czone.my/czone/b650m d3hp ax-1739103146.html,2025-03-19 14:21:24,DNR
GIGABYTE,B650M D3HP AX ,AM5,MATX,DDR5,4,2,4,1,839,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b650m-d3hp-ax-ddr5-amd-am5-matx-motherboard?_pos=96&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,DNR
GIGABYTE,B650M Gaming Plus WIFI,AM5,MATX,DDR5,4,2,4,1,699,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b650m-gaming-plus-wifi-am5-micro-atx-motherboard?_pos=97&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
GIGABYTE,B650M Gaming Plus WiFi,AM5,MATX,DDR5,4,2,4,1,699,https://czone.my/czone/b650m gaming plus wf-1739103146.html,2025-03-19 14:21:24,
MSI,B650M Gaming Plus WiFi,AM5,MATX,DDR5,4,2,4,1,699,https://czone.my/czone/b650m gaming plus wifi-1739103146.html,2025-03-19 14:21:24,
MSI,B650M Gaming Plus WIFI,AM5,MATX,DDR5,4,2,4,1,799,https://brightstarcomp.com/collections/pc-components/products/msi-b650m-gaming-plus-wifi-am5-micro-atx-motherboard?_pos=131&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
GIGABYTE,B650M Gaming WiFi,AM5,MATX,DDR5,2,1,4,1,599,https://czone.my/czone/b650m gaming wifi-1739105115.html,2025-03-19 14:21:24,
MSI,B650M Gaming WiFi,AM5,MATX,DDR5,2,2,4,1,599,https://czone.my/czone/msi b650m gaming wifi-5661.html,2025-03-19 14:21:24,
MSI,B650M Gaming WIFI,AM5,MATX,DDR5,2,2,4,1,659,https://brightstarcomp.com/collections/pc-components/products/msi-b650m-gaming-wifi-am5-micro-atx-motherboard?_pos=132&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
